//Card Title,Card ID,Card Value,Card Type,Card Sub Type,Card Badge,Card Series,Year,Peak,Team,Franchise,LastName,FirstName,NickName,UniformNumber,DayOB,MonthOB,YearOB,Bats,Throws,Position,Pitcher Role,Contact,Gap,Power,Eye,Avoid Ks,BABIP,Contact vL,Gap vL,Power vL,Eye vL,Avoid K vL,BABIP vL,Contact vR,Gap vR,Power vR,Eye vR,Avoid K vR,BABIP vR,GB Hitter Type,FB Hitter Type,BattedBallType,Speed,Steal Rate,Stealing,Baserunning,Sac bunt,Bunt for hit,Stuff,Movement,Control,pHR,pBABIP,Stuff vL,Movement vL,Control vL,pHR vL,pBABIP vL,Stuff vR,Movement vR,Control vR,pHR vR,pBABIP vR,Fastball,Slider,Curveball,Changeup,Cutter,Sinker,Splitter,Forkball,Screwball,Circlechange,Knucklecurve,Knuckleball,Stamina,Hold,GB,Velocity,Arm Slot,Height,Infield Range,Infield Error,Infield Arm,DP,CatcherAbil,CatcherFrame,Catcher Arm,OF Range,OF Error,OF Arm,Pos Rating P,Pos Rating C,Pos Rating 1B,Pos Rating 2B,Pos Rating 3B,Pos Rating SS,Pos Rating LF,Pos Rating CF,Pos Rating RF,LearnC,Learn1B,Learn2B,Learn3B,LearnSS,LearnLF,LearnCF,LearnRF,era,tier,MissionValue,limit,owned,brefid,Buy Order High,Sell Order Low,Last 10 Price,Last 10 Price(VAR),date,
Pre-Order Bonus - Hall of Fame 2B Craig Biggio HOU Peak,72778,99,4,HOF,,Pre-Order Bonus,1995,Y,Houston Astros,,Biggio,Craig,,7,14,12,1965,1,1,4,0,106,128,86,116,101,102,103,104,88,135,115,85,107,139,86,112,97,108,1,0,0,68,83,94,69,40,54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,13,2,90-92,3,180,91,83,69,87,63,63,58,78,74,63,0,58,0,105,0,0,0,66,0,1,0,1,0,0,0,1,0,5,4,75,0,0,biggicr01,5238,18990,13458,0,2025-03-14,
MLB 2025 Live SP Shane Bieber CLE,71961,78,1,,,,2025,N,Cleveland Guardians,CLE,Bieber,Shane,Not Justin,57,31,5,1995,1,1,1,11,30,13,2,16,38,25,30,13,2,16,39,25,30,13,2,16,38,25,1,1,0,12,14,7,15,35,9,70,80,93,82,77,68,78,93,79,76,71,83,94,85,80,72,74,78,71,72,0,0,0,0,0,0,0,59,52,2,91-93,3,191,17,18,30,9,0,0,0,0,0,0,40,0,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,2,5,0,1,biebesh01,400,776,591,0,2025-03-14,
MLB 2025 Live SP Osvaldo Bido ATH,72121,62,1,,,,2025,N,Athletics,OAK,Bido,Osvaldo,,45,18,10,1995,1,1,1,11,26,22,5,22,25,29,27,23,6,23,26,30,26,22,5,22,25,29,0,0,0,11,7,12,15,39,20,70,90,66,87,97,65,81,65,78,87,75,100,68,97,106,103,96,0,84,0,0,0,0,0,0,0,0,51,42,3,95-97,3,191,32,18,63,23,1,1,2,8,16,24,68,0,51,0,15,0,0,0,0,0,1,0,1,0,0,0,0,8,1,2,0,1,bidoos01,51,122,93,0,2025-03-14,
MLB 2025 Live SS Bo Bichette TOR,71914,68,1,,,,2025,N,Toronto Blue Jays,TOR,Bichette,Bo,,11,5,3,1998,1,1,6,0,97,87,68,54,84,102,100,89,70,55,87,104,96,87,68,54,83,101,1,0,0,53,42,72,63,50,33,1,20,1,1,59,1,19,1,1,57,1,20,1,1,60,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,-,3,183,79,72,72,71,1,1,1,66,59,59,128,0,84,86,76,69,77,44,65,0,1,1,1,1,1,1,1,8,1,2,0,1,bichebo01,77,134,127,0,2025-03-14,
MLB 2025 Live SP Tanner Bibee CLE,71962,83,1,,,,2025,N,Cleveland Guardians,CLE,Bibee,Tanner,,28,5,3,1999,1,1,1,11,14,9,3,14,15,13,15,10,4,15,16,14,14,9,3,14,15,13,0,0,0,23,19,6,45,87,22,77,83,90,75,100,75,80,89,73,95,79,86,92,77,104,108,103,97,97,0,0,0,0,0,0,0,0,53,46,4,95-97,3,188,22,28,48,12,1,1,3,14,21,24,62,0,43,0,9,0,0,0,0,0,1,0,1,0,0,0,0,8,3,10,0,0,bibeeta01,1556,4999,1652,0,2025-03-14,
MLB 2025 Live SS Mookie Betts LAD,72624,100,1,,,,2025,N,Los Angeles Dodgers,LAD,Betts,Mookie,,50,7,10,1992,1,1,6,0,87,109,91,116,94,79,90,110,93,118,97,80,87,109,91,116,94,79,3,2,0,45,41,75,65,44,51,1,20,1,1,60,1,20,1,1,60,1,20,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,-,3,175,67,67,72,63,0,0,0,87,87,84,120,0,66,70,67,57,112,85,102,0,1,1,1,1,1,1,1,8,5,200,0,0,bettsmo01,0,40000,43490,0,2025-03-14,
Unsung Heroes SS Yuniesky Betancourt SEA 2006,70468,49,8,,,,2006,N,Seattle Mariners,SEA,Betancourt,Yuniesky,Rikimbili,3,31,1,1982,1,1,6,0,80,67,33,33,111,61,86,106,23,38,114,66,79,57,36,32,110,60,0,0,0,71,68,69,77,29,4,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,33,0,0,0,0,0,0,0,0,0,0,0,1,15,2,90-92,3,178,72,68,70,68,0,0,0,5,2,7,0,0,72,76,69,61,0,0,0,0,1,1,1,1,0,0,0,6,0,1,0,0,betanyu01,13,35,28,521,2025-03-14,
Hardware Heroes LF Bob Bescher CIN 1910,70308,70,9,,,,1910,N,Cincinnati Reds,CIN,Bescher,Bob,,10,25,2,1884,3,2,7,0,62,80,78,106,72,55,67,78,86,91,78,58,60,82,77,111,70,54,2,2,0,90,94,100,102,29,10,1,3,1,4,1,1,3,1,4,1,1,3,1,4,1,29,0,0,0,0,0,0,0,0,0,0,0,1,9,2,89-91,4,185,6,1,2,7,0,0,0,52,47,57,0,0,0,0,0,0,58,20,0,0,0,0,0,0,1,1,0,0,2,5,0,0,beschbo01,225,599,271,1013,2025-03-14,
Unsung Heroes 3B Reno Bertoia DET 1957,70478,53,8,,,,1957,N,Detroit Tigers,DET,Bertoia,Reno,,16,8,1,1935,1,1,5,0,71,89,39,59,72,73,76,119,47,75,68,85,71,80,37,55,74,70,0,0,0,49,42,52,63,38,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,24,2,90-92,3,180,51,59,66,39,0,0,0,4,5,4,0,0,0,45,50,34,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,bertore01,6,31,52,224,2025-03-14,
MLB 2025 Live 3B Jon Berti CHC,72420,47,1,,,,2025,N,Chicago Cubs,CHC,Berti,Jon,,19,22,1,1990,1,1,5,0,75,66,42,66,74,77,76,67,43,67,75,78,75,66,42,66,74,77,1,1,0,81,79,87,85,78,67,1,20,1,1,59,1,20,1,1,59,1,20,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,90-92,4,178,66,72,57,60,11,11,3,62,57,52,120,0,71,69,60,52,70,36,58,0,1,1,1,1,1,1,1,8,0,1,0,1,bertijo01,7,45,49,0,2025-03-14,
Hardware Heroes 2B Jon Berti MIA 2022,70327,65,9,,,,2022,N,Miami Marlins,FLA,Berti,Jon,,5,22,1,1990,1,1,4,0,69,72,29,96,72,69,66,69,40,85,69,65,72,73,26,100,74,71,1,0,0,82,98,106,75,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37,0,0,0,0,0,0,0,0,0,0,0,1,3,2,91-93,4,178,55,57,45,74,0,0,0,75,60,63,0,0,0,59,43,38,88,59,0,0,0,1,1,1,1,1,0,7,1,2,0,0,bertijo01,26,62,64,2500,2025-03-14,
Unsung Heroes C Dick Bertell CHC 1963,70518,44,8,,,,1963,N,Chicago Cubs,CHC,Bertell,Dick,,6,21,11,1935,1,1,2,0,63,44,19,53,91,38,68,44,28,52,117,29,62,45,16,54,83,42,1,1,0,37,19,30,22,14,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,23,2,90-92,3,183,8,5,10,1,62,67,88,7,5,9,0,72,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,bertedi01,41,84,41,0,2025-03-14,
Snapshot 3B Sean Berry HOU 1998,71012,82,7,,,,1998,N,Houston Astros,HOU,Berry,Sean,,17,22,3,1966,1,1,5,0,89,69,101,76,85,89,105,69,108,69,74,133,84,69,99,79,91,78,0,0,0,32,16,72,31,7,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,0,0,0,0,0,0,0,0,0,0,0,1,11,2,89-91,3,180,58,49,78,39,0,0,0,2,10,7,0,0,70,0,55,0,0,0,0,0,1,0,1,0,0,0,0,5,3,10,0,0,berryse01,1001,1996,2057,0,2025-03-14,
Rookie Sensation LF Quintin Berry DET 2012,71648,59,3,,,,2012,N,Detroit Tigers,DET,Berry,Quintin,,52,21,11,1984,2,2,7,0,73,61,22,87,58,90,79,95,13,55,39,134,72,53,25,103,65,79,0,1,0,101,79,108,100,45,7,1,3,1,5,1,1,3,1,5,1,1,3,1,5,1,33,0,0,0,0,0,0,0,0,0,0,0,1,3,2,90-92,3,185,9,9,6,3,0,0,0,50,51,60,0,0,0,0,0,0,58,18,0,0,0,0,0,0,1,1,0,6,0,1,0,1,berryqu01,6,79,26,823,2025-03-14,
Snapshot RP Joe Berry PHA 1945,70597,69,7,,,,1945,N,Philadelphia Athletics,OAK,Berry,Joe,Jittery Joe,20,16,12,1904,2,1,1,12,3,4,1,2,1,1,3,4,1,2,1,1,4,5,2,3,2,1,0,2,0,6,3,6,7,26,33,74,91,71,72,131,75,88,71,70,126,73,94,72,74,135,59,70,95,0,0,0,0,0,61,0,45,0,25,81,3,89-91,3,178,33,20,25,23,0,0,0,3,10,7,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,berryjo03,26,249,147,0,2025-03-14,
Snapshot RF Geronimo Berroa OAK 1996,70799,69,7,,,,1996,N,Oakland Athletics,OAK,Berroa,Geronimo,,29,18,3,1965,1,1,9,0,65,71,102,67,66,66,69,82,93,93,61,78,64,68,105,60,68,62,1,0,0,17,18,6,34,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,22,2,90-92,3,183,6,8,10,4,0,0,0,54,51,71,0,0,0,0,0,0,65,0,58,0,0,0,0,0,1,0,1,5,1,2,0,0,berroge01,50,73,60,0,2025-03-14,
MLB 2025 Live SP Jose Berrios TOR,71901,65,1,,,,2025,N,Toronto Blue Jays,TOR,Berrios,Jose,La Maquina,17,27,5,1994,1,1,1,11,30,10,1,25,26,36,31,10,1,26,27,37,30,10,1,25,26,36,0,0,0,16,16,17,15,65,37,62,83,93,73,104,58,77,90,70,92,66,88,96,76,114,71,64,0,56,57,67,0,0,0,0,0,0,59,51,2,94-96,3,183,24,31,42,12,0,0,0,0,0,0,66,0,42,0,8,0,0,0,0,0,1,0,1,0,0,0,0,8,1,2,0,1,berrijo01,67,74,71,0,2025-03-14,
Snapshot SS Dale Berra PIT 1982,70973,52,7,,,,1982,N,Pittsburgh Pirates,PIT,Berra,Dale,,4,13,12,1956,1,1,6,0,64,79,55,48,71,60,56,74,36,33,71,40,68,83,61,53,72,67,3,1,0,54,59,58,45,34,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,20,2,90-92,3,183,97,57,84,80,0,0,0,5,2,10,0,0,0,0,86,83,0,0,0,0,0,0,1,1,0,0,0,4,0,1,0,0,berrada01,20,32,32,425,2025-03-14,
MLB 2025 Live RP Brennan Bernardino BOS,71838,58,1,,,,2025,N,Boston Red Sox,BOS,Bernardino,Brennan,,83,15,1,1992,2,2,1,12,22,19,10,18,25,20,22,19,10,18,25,20,24,20,11,19,26,21,0,0,0,19,17,14,28,49,22,77,66,70,65,68,104,78,76,78,79,72,62,69,61,65,80,87,0,0,81,0,0,0,0,0,0,0,14,71,2,92-94,2,193,21,26,36,8,2,2,1,9,22,25,55,0,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,1,0,0,bernabr01,10,73,45,0,2025-03-14,
Snapshot SP Sean Bergman HOU 1999,70694,53,7,,,,1999,N,Houston Astros,HOU,Bergman,Sean,,38,11,4,1970,1,1,1,11,3,3,4,2,1,1,3,3,4,2,1,1,3,3,4,2,1,1,0,1,0,12,5,6,20,28,31,41,63,70,79,31,35,60,54,76,29,46,68,85,87,32,0,51,0,59,0,60,0,0,0,0,0,0,58,97,2,88-90,3,193,21,20,21,23,0,0,0,10,3,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,bergmse01,6,49,24,0,2025-03-14,
All-Time Legend C Bill Bergen BRO Peak,71432,41,4,,,,1909,Y,Brooklyn Superbas,LAD,Bergen,Bill,,50,13,6,1878,1,1,2,0,47,62,43,39,72,19,57,56,43,28,90,26,43,65,43,44,67,17,0,0,0,56,59,41,50,95,100,1,3,1,4,1,1,3,1,4,1,1,3,1,4,1,33,0,0,0,0,0,0,0,0,0,0,0,1,5,2,90-92,3,183,5,5,10,7,83,78,65,10,9,6,0,77,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,bergebi01,6,25,25,0,2025-03-14,
Snapshot RF Augie Bergamo STL 1945,70825,84,7,,,,1945,N,St. Louis Cardinals,STL,Bergamo,Augie,,17,14,2,1917,2,2,9,0,92,73,60,99,93,87,83,70,39,108,98,74,96,75,67,97,92,94,2,1,0,22,10,6,26,76,3,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,29,0,0,0,0,0,0,0,0,0,0,0,1,21,2,89-91,3,175,7,2,7,10,0,0,0,62,53,66,0,0,0,0,0,0,73,0,64,0,0,0,0,0,1,0,1,1,3,10,0,0,bergaau01,1001,1399,1401,0,2025-03-14,
Rookie Sensation SP Jason Bere CWS 1993,71568,78,3,,,,1993,N,Chicago White Sox,CHW,Bere,Jason,,51,26,5,1971,1,1,1,11,3,3,1,3,1,1,3,3,2,3,1,1,3,3,1,3,1,1,0,1,0,10,4,6,15,29,48,118,96,34,76,138,87,123,22,117,135,156,84,44,56,141,89,58,107,0,75,0,0,124,0,0,0,0,67,65,3,91-93,3,191,28,15,22,23,0,0,0,2,6,3,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,5,0,0,bereja01,350,0,491,2002,2025-03-14,
Snapshot 1B Todd Benzinger BOS 1988,71122,52,7,,,,1988,N,Boston Red Sox,BOS,Benzinger,Todd,Mercedes,38,11,2,1963,3,1,3,0,58,125,80,46,66,54,71,99,71,52,84,59,56,138,86,44,60,53,0,1,0,27,45,52,29,34,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,0,0,0,0,0,0,0,0,0,0,0,1,23,2,89-91,3,185,31,46,36,31,0,0,0,96,107,61,0,0,59,0,0,0,121,0,105,0,1,0,0,0,1,0,1,4,0,1,0,0,benzito01,18,100,68,455,2025-03-14,
Snapshot SP Rube Benton CIN 1925,70656,79,7,,,,1925,N,Cincinnati Reds,CIN,Benton,Rube,,49,27,6,1890,2,2,1,11,17,47,18,38,21,14,12,49,27,49,12,11,20,47,15,36,24,16,1,0,0,5,4,6,5,28,7,44,90,92,102,67,32,91,64,104,66,48,90,105,102,67,52,0,58,64,0,0,0,0,0,0,0,0,63,108,1,88-90,3,185,27,30,26,23,0,0,0,4,4,5,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,bentoru01,124,329,347,0,2025-03-14,
MLB 2025 Live LF Will Benson CIN,72451,69,1,,,,2025,N,Cincinnati Reds,CIN,Benson,Will,,30,16,6,1998,2,2,7,0,59,81,79,108,41,77,57,78,74,96,38,75,60,83,81,112,42,78,3,2,0,77,81,82,74,42,33,1,20,1,1,60,1,20,1,1,60,1,20,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,90-92,3,196,27,35,76,14,1,1,1,67,67,73,78,0,62,0,0,0,83,50,74,0,1,0,0,0,1,1,1,8,1,2,0,1,bensowi01,161,222,173,0,2025-03-14,
MLB 2025 Live LF Andrew Benintendi CWS,71940,70,1,,,,2025,N,Chicago White Sox,CHW,Benintendi,Andrew,Benny,23,6,7,1994,2,2,7,0,79,86,68,78,89,74,76,82,64,75,80,72,81,88,70,80,92,75,2,2,0,45,34,73,57,81,62,1,21,1,1,62,1,21,1,1,63,1,21,1,1,61,5,0,0,0,0,0,0,0,0,0,0,0,8,0,4,75-80,4,175,19,31,30,12,1,1,1,52,58,59,56,0,29,0,0,0,61,22,52,0,1,0,0,0,1,1,1,8,2,5,0,1,beninan01,250,419,349,0,2025-03-14,
MLB 2025 Live RP Anthony Bender MIA,72277,83,1,,,,2025,N,Miami Marlins,FLA,Bender,Anthony,,37,3,2,1995,1,1,1,12,18,14,6,25,20,17,20,15,7,27,22,18,18,14,6,25,20,17,0,0,0,16,8,11,30,15,12,88,87,72,104,53,78,80,71,96,49,99,92,74,111,55,0,128,0,88,0,116,0,0,0,0,0,0,14,58,0,97-99,4,193,19,22,46,9,3,3,1,12,16,30,51,0,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,3,10,0,0,bendean01,0,1305,1286,0,2025-03-14,
MLB 2025 Live SP Valente Bellozo MIA,72299,40,1,,,,2025,N,Miami Marlins,FLA,Bellozo,Valente,,22,4,1,2000,1,1,1,11,15,15,2,14,13,18,16,16,3,15,14,19,15,15,2,14,13,18,0,0,0,13,13,10,17,26,9,57,73,77,64,91,55,71,77,63,87,58,75,78,66,94,59,58,67,68,0,0,0,0,0,0,0,0,52,43,4,90-92,3,178,17,14,35,5,0,0,0,0,0,0,37,0,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,1,0,1,bellova01,10,49,33,0,2025-03-14,
MLB 2025 Live SP Brayan Bello BOS,71811,70,1,,,,2025,N,Boston Red Sox,BOS,Bello,Brayan,,66,17,5,1999,1,1,1,11,25,30,2,16,28,22,26,31,2,17,29,23,25,30,2,16,28,22,0,0,0,16,8,17,24,66,5,74,81,74,93,59,67,73,72,83,55,78,88,76,102,62,90,90,0,76,0,88,0,0,0,0,0,0,52,53,2,96-98,3,185,26,32,56,26,3,3,1,7,25,20,73,0,47,7,19,0,0,0,0,0,1,1,1,0,0,0,0,8,2,5,0,0,bellobr01,101,344,299,0,2025-03-14,
MLB 2025 Live RF Cody Bellinger NYY,71856,84,1,,,,2025,N,New York Yankees,NYY,Bellinger,Cody,Belli,24,13,7,1995,2,2,9,0,79,89,81,65,90,74,76,85,77,62,83,72,81,90,84,67,93,75,3,2,0,74,55,80,70,51,24,1,20,1,1,60,1,20,1,1,60,1,20,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,75-80,3,193,29,40,54,23,2,2,1,79,79,72,79,0,64,0,0,0,99,70,88,0,1,0,0,0,1,1,1,8,3,10,0,0,bellico01,2004,3989,3203,0,2025-03-14,
MLB 2025 Live 1B Josh Bell WSH,72388,72,1,,,,2025,N,Washington Nationals,WSN,Bell,Josh,JB,36,14,8,1992,3,1,3,0,73,76,79,86,79,68,76,78,84,88,84,70,73,76,79,85,79,68,2,2,0,16,3,6,24,22,16,1,29,1,1,86,1,29,1,1,86,1,29,1,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,90-92,3,193,22,28,28,17,0,0,0,40,43,58,57,0,46,0,0,0,44,0,37,0,1,0,0,0,1,0,1,8,2,5,0,0,belljo02,666,1572,1045,0,2025-03-14,
Snapshot SS Jay Bell KC 1997,70979,88,7,,,,1997,N,Kansas City Royals,KCR,Bell,Jay,,28,11,12,1965,1,1,6,0,84,71,75,95,80,86,76,67,53,93,77,77,88,73,84,96,82,90,0,1,0,63,54,69,81,11,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,16,2,90-92,4,185,89,96,85,102,0,0,0,10,6,7,0,0,0,114,0,97,0,0,0,0,0,1,0,1,0,0,0,5,3,15,0,0,bellja01,1800,0,1743,11111,2025-03-14,
Hardware Heroes CL Heath Bell SD 2009,70265,98,9,,,,2009,N,San Diego Padres,SDP,Bell,Heath,,21,29,9,1977,1,1,1,13,3,3,1,3,1,1,3,3,2,3,1,1,3,3,1,3,1,1,0,2,0,5,4,6,5,27,51,114,106,60,120,78,101,97,55,108,77,127,118,65,137,80,85,97,98,85,0,0,0,0,0,0,0,0,18,59,2,91-93,4,191,27,20,23,23,0,0,0,6,2,2,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,75,0,0,bellhe01,4001,8888,9885,0,2025-03-14,
Historical All-Star CF Gus Bell CIN 1956,71243,69,5,,,,1956,N,Cincinnati Redlegs,CIN,Bell,Gus,,25,15,11,1928,2,1,8,0,72,91,94,61,89,57,54,57,76,56,70,38,77,108,102,64,98,63,0,0,0,44,23,72,49,26,4,1,3,1,4,1,1,3,1,4,1,1,3,1,4,1,33,0,0,0,0,0,0,0,0,0,0,0,1,8,2,90-92,4,188,8,8,9,7,0,0,0,62,74,81,0,0,0,0,0,0,80,43,73,0,0,0,0,0,1,1,1,2,1,2,0,0,bellgu01,60,161,162,6006,2025-03-14,
Rookie Sensation CF Fern Bell PIT 1939,71634,69,3,,,,1939,N,Pittsburgh Pirates,PIT,Bell,Fern,Danny,17,21,1,1913,1,1,8,0,76,48,33,112,96,62,99,35,24,142,125,76,71,53,37,105,87,58,0,0,0,68,42,49,48,39,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,15,2,90-92,3,183,6,2,3,2,0,0,0,71,54,61,0,0,0,0,0,0,83,53,71,0,0,0,0,0,1,1,1,1,1,2,0,0,bellfe01,31,499,90,3000,2025-03-14,
Brooks Robinson Mission - All-Time Legend 3B David Bell PHI Peak,71410,83,4,,,Brooks Robinson Mission,2004,Y,Philadelphia Phillies,PHI,Bell,David,,4,14,9,1972,1,1,5,0,89,82,69,77,100,78,105,87,33,79,138,77,85,81,80,77,90,79,0,0,0,33,16,58,43,28,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37,0,0,0,0,0,0,0,0,0,0,0,1,13,2,91-93,3,178,98,64,101,72,0,0,0,3,7,1,0,0,0,102,98,0,0,0,0,0,0,1,1,0,0,0,0,5,3,10,0,0,bellda01,5000,9800,9333,0,2025-03-14,
Rangers Live 2 - Hardware Heroes 3B Buddy Bell TEX 1980,72755,92,9,,ME,Rangers Live 2,1980,N,Texas Rangers,,Bell,Buddy,,25,27,8,1951,1,1,5,0,101,78,78,55,103,92,104,55,68,84,113,87,101,90,82,45,100,94,2,0,0,52,26,35,69,18,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,0,0,0,0,0,0,0,0,0,0,0,1,6,2,89-91,4,188,99,103,98,89,0,0,0,7,2,10,0,0,0,0,116,108,0,0,0,0,0,0,1,1,0,0,0,4,4,50,0,0,bellbu01,4500,6800,6155,0,2025-03-14,
Snapshot SS Mark Belanger BAL 1971,70970,86,7,,,,1971,N,Baltimore Orioles,BAL,Belanger,Mark,,7,8,6,1944,1,1,6,0,94,70,5,108,107,79,107,66,10,89,138,79,91,72,4,114,99,80,0,1,0,74,64,78,84,75,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,0,0,0,0,0,0,0,0,0,0,0,1,13,2,89-91,3,185,104,96,94,83,0,0,0,10,8,6,0,0,0,0,0,107,0,0,0,0,0,0,0,1,0,0,0,3,3,15,0,0,belanma01,1001,2777,2824,30000,2025-03-14,
Snapshot RP Joe Beimel LAD 2006,70536,54,7,,,,2006,N,Los Angeles Dodgers,LAD,Beimel,Joe,,97,19,4,1977,2,2,1,12,3,2,1,2,1,1,3,2,1,2,1,1,3,3,2,3,1,1,2,1,0,11,5,6,16,25,37,36,88,71,74,117,47,100,82,87,126,33,85,68,72,113,44,31,25,41,25,28,0,0,0,0,0,0,19,48,0,89-91,3,191,35,20,26,23,0,0,0,1,4,9,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,beimejo01,25,99,44,567,2025-03-14,
MLB 2025 Live CL David Bednar PIT,72495,71,1,,,,2025,N,Pittsburgh Pirates,PIT,Bednar,David,,51,10,10,1994,2,1,1,13,24,13,18,14,27,18,23,13,17,13,26,18,24,14,19,15,28,19,0,0,0,19,13,17,26,27,6,82,77,76,69,94,84,78,77,70,95,81,76,76,69,92,122,0,95,0,0,0,86,0,0,0,0,0,15,48,4,97-99,3,183,27,30,56,15,2,2,2,37,14,24,72,0,45,0,18,0,27,0,7,0,1,0,1,0,1,0,1,8,2,5,0,0,bednada01,150,334,285,0,2025-03-14,
Unsung Heroes RP Joe Beckwith KC 1984,70349,65,8,,,,1984,N,Kansas City Royals,KCR,Beckwith,Joe,,27,28,1,1955,2,1,1,12,3,2,1,2,1,1,3,2,1,2,1,1,3,3,2,3,1,1,0,0,0,16,4,6,28,25,31,92,71,73,53,107,94,70,61,54,102,90,72,83,53,112,99,87,114,65,0,0,0,0,0,0,0,0,24,59,3,93-95,3,191,30,20,24,23,0,0,0,5,5,10,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,beckwjo01,40,147,84,0,2025-03-14,
Rookie Sensation SP Bill Beckmann PHA 1939,71530,48,3,,,,1939,N,Philadelphia Athletics,OAK,Beckmann,Bill,,35,8,12,1907,1,1,1,11,4,2,2,4,2,2,4,2,2,4,2,2,4,2,2,4,2,2,2,0,0,8,5,6,11,29,48,28,63,90,56,77,21,63,89,57,77,32,63,92,56,77,41,0,26,0,32,0,0,0,0,0,0,0,74,47,4,90-92,3,183,22,20,21,23,0,0,0,5,8,6,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,beckmbi01,6,33,25,255,2025-03-14,
Rookie Sensation 3B Gordon Beckham CWS 2009,71679,66,3,,,,2009,N,Chicago White Sox,CHW,Beckham,Gordon,,15,16,9,1986,1,1,5,0,67,114,74,90,81,55,76,186,69,66,96,61,64,99,76,102,78,53,1,0,0,54,60,65,94,6,2,1,3,1,4,1,1,3,1,4,1,1,3,1,4,1,33,0,0,0,0,0,0,0,0,0,0,0,1,14,2,90-92,3,183,55,53,69,53,0,0,0,3,10,10,0,0,0,51,52,0,0,0,0,0,0,1,1,0,0,0,0,6,1,2,0,0,beckhgo01,40,69,69,973,2025-03-14,
Rod Carew Mission - Historical All-Star 2B Glenn Beckert CHC 1971,71290,63,5,,,Rod Carew Mission,1971,N,Chicago Cubs,CHC,Beckert,Glenn,,18,12,10,1940,1,1,4,0,134,62,19,33,137,116,154,60,6,30,148,139,128,63,24,34,133,111,1,2,1,69,20,31,86,74,61,1,3,1,5,1,1,3,1,5,1,1,3,1,5,1,33,0,0,0,0,0,0,0,0,0,0,0,1,10,2,90-92,4,185,69,84,49,65,0,0,0,9,9,8,0,0,0,77,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,0,0,beckegl01,100,0,178,3006,2025-03-14,
